,B06009_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B06010_001E,B06010_002E,B06010_004E,B06010_005E,B06010_006E,B06010_007E,B06010_008E,B06010_009E,B06010_010E,B06010_011E,B09010_001E,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008,P004002,P013001,P013002,P013003,P015001,P017001,P031001
0,,,,,,,,,,,,,,,,,7904.0,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,2326.0,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,5277.0,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,31952.0,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,8145.0,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,17091.0,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,17581.0,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,1880.0,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,7420.0,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,7883.0,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,28170.0,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,10705.0,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,8952.0,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,8836.0,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,8858.0,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,4079.0,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,6973.0,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,5024.0,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,8035.0,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,5655.0,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,2545.0,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,3788.0,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,4359.0,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,8855.0,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,3614.0,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,5615.0,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,8430.0,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,10809.0,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,68856.0,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,8812.0,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,11757.0,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,1290.0,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,4981.0,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,4395.0,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,9148.0,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,4704.0,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,5030.0,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,4104.0,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,6821.0,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,3727.0,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,3067.0,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,8878.0,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,6310.0,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,6330.0,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,6520.0,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,6416.0,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,17970.0,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,4315.0,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,5680.0,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,2740.0,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,8449.0,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,11259.0,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,11163.0,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,7387.0,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,14519.0,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,5478.0,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,14960.0,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,5244.0,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,9345.0,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,8459.0,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,289.0,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,10557.0,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,6849.0,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,5448.0,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,6177.0,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,7749.0,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,16530.0,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,11433.0,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,10046.0,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,7167.0,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,1935.0,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,3619.0,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,2775.0,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,5513.0,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,5798.0,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,37024.0,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,32474.0,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,9319.0,,,,,,,,,,,,,,,
78,14794.0,2513.0,6910.0,3528.0,1079.0,764.0,17655.0,4683.0,3349.0,2055.0,2343.0,1766.0,1417.0,898.0,265.0,879.0,5071.0,,,,,,,,,,,,,,,
79,23370.0,5136.0,9546.0,6308.0,1671.0,709.0,27280.0,4636.0,4966.0,2865.0,3941.0,2662.0,3510.0,2164.0,647.0,1889.0,7242.0,,,,,,,,,,,,,,,
80,92452.0,9303.0,22660.0,28267.0,18261.0,13961.0,128522.0,18558.0,28448.0,11634.0,15831.0,12696.0,15387.0,10654.0,3608.0,11706.0,33809.0,,,,,,,,,,,,,,,
81,21406.0,4134.0,7563.0,6831.0,1784.0,1094.0,24920.0,3122.0,4584.0,3469.0,5053.0,2685.0,2669.0,1494.0,530.0,1314.0,6351.0,,,,,,,,,,,,,,,
82,14241.0,2870.0,5384.0,4308.0,1248.0,431.0,16783.0,2468.0,3792.0,2057.0,3048.0,1645.0,1663.0,877.0,400.0,833.0,4186.0,,,,,,,,,,,,,,,
83,8244.0,1429.0,3276.0,2037.0,872.0,630.0,10969.0,2591.0,2921.0,1300.0,1574.0,794.0,816.0,509.0,148.0,316.0,2579.0,,,,,,,,,,,,,,,
84,447048.0,47558.0,119622.0,137189.0,86862.0,55817.0,532449.0,69214.0,93602.0,49911.0,77253.0,57565.0,63177.0,45595.0,17375.0,58757.0,151907.0,,,,,,,,,,,,,,,
85,9449.0,1881.0,3766.0,2702.0,745.0,355.0,11010.0,1494.0,2487.0,1665.0,1752.0,968.0,1162.0,601.0,217.0,664.0,2705.0,,,,,,,,,,,,,,,
86,20734.0,4903.0,7767.0,5286.0,1722.0,1056.0,25131.0,4200.0,4761.0,2837.0,4451.0,2973.0,2721.0,1497.0,538.0,1153.0,7772.0,,,,,,,,,,,,,,,
87,13557.0,2279.0,5375.0,3814.0,1315.0,774.0,16029.0,2503.0,3602.0,1896.0,2431.0,1685.0,1327.0,988.0,321.0,1276.0,4534.0,,,,,,,,,,,,,,,
88,38710.0,6618.0,12536.0,13020.0,4092.0,2444.0,46137.0,6967.0,8823.0,4763.0,7178.0,5234.0,5359.0,3814.0,1380.0,2619.0,14604.0,,,,,,,,,,,,,,,
89,18797.0,3850.0,7179.0,5424.0,1237.0,1107.0,21691.0,2768.0,4057.0,2573.0,3832.0,2649.0,2637.0,1534.0,384.0,1257.0,5198.0,,,,,,,,,,,,,,,
90,26416.0,4743.0,9397.0,8177.0,2740.0,1359.0,30711.0,4529.0,5404.0,3637.0,5035.0,3994.0,3168.0,2102.0,749.0,2093.0,8258.0,,,,,,,,,,,,,,,
91,9588.0,1981.0,3625.0,2420.0,1143.0,419.0,11275.0,1488.0,2207.0,1341.0,1969.0,1312.0,1407.0,656.0,263.0,632.0,3134.0,,,,,,,,,,,,,,,
92,26849.0,5025.0,9822.0,8193.0,2181.0,1628.0,32532.0,5263.0,7429.0,4161.0,5589.0,3309.0,3224.0,1392.0,573.0,1592.0,10032.0,,,,,,,,,,,,,,,
93,63168.0,8934.0,22269.0,17735.0,8710.0,5520.0,77289.0,9449.0,14335.0,8259.0,12260.0,9446.0,9921.0,5509.0,2241.0,5869.0,18706.0,,,,,,,,,,,,,,,
94,7065.0,1698.0,2549.0,1847.0,671.0,300.0,8392.0,1159.0,2217.0,1027.0,1297.0,894.0,868.0,469.0,151.0,310.0,2378.0,,,,,,,,,,,,,,,
95,12280.0,2258.0,3968.0,3588.0,1332.0,1134.0,16529.0,2144.0,4816.0,1866.0,2461.0,1697.0,1607.0,899.0,399.0,640.0,3450.0,,,,,,,,,,,,,,,
96,63026.0,10242.0,19353.0,17937.0,10410.0,5084.0,74429.0,13102.0,12550.0,6882.0,9423.0,8334.0,8591.0,5405.0,1977.0,8165.0,21211.0,,,,,,,,,,,,,,,
