OF_ID,createTime,updateTime,finishTime,Location_ST,Location_City,Location_State,Location_StateFIPS,Location_Zip,x,y,marketname,Market_Website,Market_Facebook,Market_Twitter,season1_date,season1_time,season1_notes,season1_products,season2_date,season2_time,season2_notes,season2_products,season3_date,season3_time,season3_notes,season3_products,season4_date,season4_time,season4_notes,season4_products,Product_1,Product_2,Product_3,Product_4,Product_5,Product_6,Product_7,Product_8,Product_9,Product_10,Product_11,Product_12,Product_13,Product_14,Product_15,Product_16,Product_17,Product_18,Product_19,Product_20,Product_21,Product_22,Product_23,Product_24,Product_25,Product_26,Product_27,Product_28,ActivityList,Activity_1,Activity_2,Activity_3,Activity_4,Activity_5,Activity_6,Activity_7,Activity_8,Activity_9,Activity_10,Activity_11,FacilitiesList,Facilities_1,Facilities_2,Facilities_3,Facilities_4,Facilities_5,Payment_2,Payment_3,Payment_4,Payment_1
4017399,9/6/2014 14:01,9/6/2014 14:31,9/6/2014 14:31,10600 Highland Springs Ave.,Cherry Valley,California,6,92223,-116.944304,33.969105,123 Farm at Highland Springs Resort,www.123farm.com,https://www.facebook.com/hsresort,,01/01/2014 to 12/31/2014,Tue: 8:00 AM - 8:00 PM;Wed: 8:00 AM - 8:00 PM;Thu: 8:00 AM - 8:00 PM;Fri: 8:00 AM - 8:00 PM;Sat: 8:00 AM - 8:00 PM;Sun: 8:00 AM - 3:00 PM;,We are closed on Mondays. The hiking trails are open Tues.-Sun. all summer and weekends ONLY fall and winter,Baked goods; Cut flowers; Herbs; Soap; Wild harvested forest products;,,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"Celebrations/ corporate events; Educational tours/ classes; Farm meals (lunches, dinners, etc.);  Other: farm camp programs for schools: www.123farm/school;",1,1,1,0,0,0,0,0,0,0,0,Hand washing station(s); Flush toilets; Picnic areas with tables; ,1,1,0,1,0,1,1,1,0
4017170,8/7/2014 18:55,8/7/2014 19:14,8/7/2014 19:14,13701 NE 171st Street,Woodinville,Washington,53,98072,-122.1569875,47.7502397,21 Acres Farm Market,21acres.org,https://www.facebook.com/21Acres,,05/28/2014 to 12/27/2014,Wed: 11:00 AM - 6:00 PM;Thu: 11:00 AM - 6:00 PM;Fri: 11:00 AM - 6:00 PM;Sat: 10:00 AM - 4:00 PM;,Except National Holidays,Baked goods; Canned or preserved food; Coffee and/or tea; Dairy products; Dry beans; Eggs; Fish and/or seafood; Herbs; Fresh fruits; Fresh vegetables; Grains and/or flour; Honey; Juices; Mushrooms; Nuts; Prepared foods; Wild harvested forest products;,01/02/2015 to 05/30/2015,Fri: 11:00 AM - 6:00 PM;Sat: 10:00 AM - 4:00 PM;,Except National Holidays,Baked goods; Canned or preserved food; Coffee and/or tea; Dairy products; Dry beans; Eggs; Fish and/or seafood; Herbs; Fresh fruits; Fresh vegetables; Grains and/or flour; Honey; Juices; Mushrooms; Nuts; Prepared foods; Wild harvested forest products;,,,,,,,,,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,"Celebrations/ corporate events; Educational tours/ classes; Farm meals (lunches, dinners, etc.); Family/ youth activities;  Tours of manufacturing facilities; ",1,1,1,1,0,1,0,0,0,0,0,Hand washing station(s); Flush toilets; Picnic areas without tables; Picnic areas with tables; ,1,1,1,1,0,1,1,1,1
4001442,,7/27/2014 9:38,7/27/2014 9:38,1876 Brooksfield Rd,Blacksburg,Virginia,51,24060,-80.491034,37.216789,3 Birds Berry Farm,3birdsberryfarm.com,https://www.facebook.com/3BirdsBerryFarm,,06/20/2014 to 09/01/2014,,"Our hours change during the picking season according to the crops in, but generally we pick 5 mornings and 1 evening each week. Call the 552-4195 for weekly updated message of picking hours and crops in.",Canned or preserved food; Cut flowers; Fresh fruits;,,,,,,,,,,,,,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Other: U-Pick berry farm with 5.5 acres of small fruit crops;,0,0,0,0,0,0,0,0,0,0,0,Hand washing station(s); Picnic areas with tables; ,1,0,0,1,0,1,0,0,0
4001439,,7/27/2014 15:33,7/27/2014 15:33,41031 Highway 1056,Franklinton,Louisiana,22,70438,-90.215454,30.870116,3D Blueberry Farm,http://www.3dblueberries.com,https://www.facebook.com/3DBlueberryFarm,,06/01/2014 to 07/12/2014,Wed: 7:00 AM - 7:00 PM;Sat: 7:00 AM - 7:00 PM;Sun: 7:00 AM - 7:00 PM;,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pick Your Own/U-Pick operation; ,0,0,0,0,1,0,0,0,0,0,0,Flush toilets; Picnic areas without tables; ,0,1,1,0,0,1,1,0,0
4017665,4/21/2015 15:00,4/21/2015 15:06,4/21/2015 15:06,1692 18th Road,Washington,Kansas,20,66968,-97.068195,39.828054,4K Ranch,,,,01/01/2015 to 12/31/2015,Mon: 4:00 PM - 8:00 PM;Tue: 4:00 PM - 8:00 PM;Wed: 4:00 PM - 8:00 PM;Thu: 4:00 PM - 8:00 PM;Fri: 4:00 PM - 8:00 PM;Sat: 8:00 AM - 8:00 PM;Sun: 11:00 AM - 5:00 PM;,,Non-poultry meat;,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, Other: Farm tours on horse back.;,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,0
4017569,12/4/2014 22:46,12/4/2014 22:53,12/4/2014 22:53,8259 Keys Road,Mount Vernon,Ohio,39,43050,-82.56201,40.358681,4R Angus Farm,4RAngusFarm.weebly.com,4R Angus Farm,,,,Black Angus All Natural Grass Fed Beef and Chicken available year round.  Grain fed upon request.,Poultry products; Non-poultry meat;,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Educational tours/ classes; Family/ youth activities;  Hay rides; Pony rides; ,0,1,0,1,0,0,0,1,0,0,1,Hand washing station(s); Flush toilets; Picnic areas with tables; ,1,1,0,1,0,1,1,0,0
4022273,3/19/2017 18:24,3/19/2017 18:35,3/19/2017 18:35,596 Crump Creek Rd,Blairsville ,Georgia,13,30512,-83.913113,34.854805,7M Family Farms LLC,www.7mfamilyfarms.com,7M Family Farms ,,01/01/2017 to 12/31/2017,Mon: 10:00 AM - 5:00 PM;Tue: 10:00 AM - 5:00 PM;Wed: 10:00 AM - 5:00 PM;Thu: 10:00 AM - 5:00 PM;Fri: 10:00 AM - 5:00 PM;Sat: 10:00 AM - 6:00 PM;Sun: 12:00 PM - 4:00 PM;,Open during season only store offers locally grown products,"Baked goods; Canned or preserved food; Coffee and/or tea; Crafts and/or woodworking items; Cut flowers; Dairy products; Dry beans; Eggs; Herbs; Fresh fruits; Fresh vegetables; Grains and/or flour; Grass Fed Beef, also certified Beefalo ;",,,,,,,,,,,,,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Celebrations/ corporate events; Educational tours/ classes; Family/ youth activities;  Pick Your Own/U-Pick operation; Tours of manufacturing facilities; Hay rides; Corn maze; ,1,1,0,1,1,1,0,1,1,0,0,Hand washing station(s); Picnic areas with tables; ,1,0,0,1,0,1,1,0,0
4015885,,7/26/2014 20:19,7/26/2014 20:19,37938 Charles Town Pike,Purcellville,Virginia,51,20132,-77.690603,39.188266,A Dozen Eggs,www.pastureraisedeggs.com,,,01/01/2014 to 12/31/2014,,,Canned or preserved food; Eggs; Honey; Pet food; Poultry products; Wine;,,,,,,,,,,,,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,Educational tours/ classes; ,0,1,0,0,0,0,0,0,0,0,0,Picnic areas with tables; ,0,0,0,1,0,1,1,0,0
4017540,10/26/2014 11:32,10/26/2014 11:38,10/26/2014 11:38,251 Lost Oak,Bandera,Texas,48,78003,-99.035729,29.745359,A Garden in Every Home,http://www.agardenineveryhome.com/,https://www.facebook.com/AGardenInEveryHome,,01/01/2014 to 12/31/2014,,"I have an assortment of exotic plants, Black Spanish, Blanc Du bois and Victoria Red Grapes plant starts, Assorted Herbs, and Veggie plants, By Appointment ONLY, Please call 210-413-7392",Bedding plants; Cut flowers; Fresh fruits; Nursery stock;,,,,,,,,,,,,,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Educational tours/ classes; ,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,1,0
4004426,,7/23/2014 14:55,7/23/2014 14:55,PO Box 186,Bow,Washington,53,98232,-122.358513,48.549711,A Man and His Hoe,amanandhishoe.com,,,01/01/2014 to 12/31/2014,,,Eggs; Fresh vegetables; Poultry products;,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,0
