,B06009_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B06010_001E,B06010_002E,B06010_004E,B06010_005E,B06010_006E,B06010_007E,B06010_008E,B06010_009E,B06010_010E,B06010_011E,B09010_001E,county,state
0,14794,2513,6910,3528,1079,764,17655,4683,3349,2055,2343,1766,1417,898,265,879,5071,99,1
1,23370,5136,9546,6308,1671,709,27280,4636,4966,2865,3941,2662,3510,2164,647,1889,7242,79,1
2,92452,9303,22660,28267,18261,13961,128522,18558,28448,11634,15831,12696,15387,10654,3608,11706,33809,81,1
3,21406,4134,7563,6831,1784,1094,24920,3122,4584,3469,5053,2685,2669,1494,530,1314,6351,93,1
4,14241,2870,5384,4308,1248,431,16783,2468,3792,2057,3048,1645,1663,877,400,833,4186,107,1
5,8244,1429,3276,2037,872,630,10969,2591,2921,1300,1574,794,816,509,148,316,2579,119,1
6,447048,47558,119622,137189,86862,55817,532449,69214,93602,49911,77253,57565,63177,45595,17375,58757,151907,73,1
7,9449,1881,3766,2702,745,355,11010,1494,2487,1665,1752,968,1162,601,217,664,2705,23,1
8,20734,4903,7767,5286,1722,1056,25131,4200,4761,2837,4451,2973,2721,1497,538,1153,7772,59,1
9,13557,2279,5375,3814,1315,774,16029,2503,3602,1896,2431,1685,1327,988,321,1276,4534,91,1
10,38710,6618,12536,13020,4092,2444,46137,6967,8823,4763,7178,5234,5359,3814,1380,2619,14604,113,1
11,18797,3850,7179,5424,1237,1107,21691,2768,4057,2573,3832,2649,2637,1534,384,1257,5198,19,1
12,26416,4743,9397,8177,2740,1359,30711,4529,5404,3637,5035,3994,3168,2102,749,2093,8258,39,1
13,9588,1981,3625,2420,1143,419,11275,1488,2207,1341,1969,1312,1407,656,263,632,3134,41,1
14,26849,5025,9822,8193,2181,1628,32532,5263,7429,4161,5589,3309,3224,1392,573,1592,10032,47,1
15,63168,8934,22269,17735,8710,5520,77289,9449,14335,8259,12260,9446,9921,5509,2241,5869,18706,77,1
16,7065,1698,2549,1847,671,300,8392,1159,2217,1027,1297,894,868,469,151,310,2378,85,1
17,12280,2258,3968,3588,1332,1134,16529,2144,4816,1866,2461,1697,1607,899,399,640,3450,87,1
18,63026,10242,19353,17937,10410,5084,74429,13102,12550,6882,9423,8334,8591,5405,1977,8165,21211,83,1
19,141263,11226,29544,40834,39369,20290,167333,20576,24656,12338,19889,16700,19885,17082,7653,28554,50418,117,1
20,60248,9533,21794,19278,6366,3277,70342,10931,10922,6216,10768,7879,8460,6695,2861,5610,20046,115,1
21,17255,3929,6242,4854,1354,876,19836,2408,4168,2805,3472,2535,2003,1268,344,833,5025,133,1
22,143022,13997,39771,45286,29237,14731,166364,20201,25080,16030,26852,20222,21502,13466,5057,17954,44892,3,1
23,56720,10147,20338,17778,5409,3048,66508,12443,10854,6672,11007,7438,7644,4708,1658,4084,18304,43,1
24,55278,7531,18829,16289,7983,4646,65982,10704,11796,5836,7915,7454,7655,5924,2473,6225,18251,51,1
25,71238,10455,22694,23186,9418,5485,83891,11726,15058,9596,13624,9528,9839,5594,2185,6741,24486,69,1
26,37016,6893,15080,10087,3192,1764,43138,7549,7309,4818,7558,5379,4631,2621,876,2397,11260,71,1
27,56103,10939,19706,17852,4620,2986,66462,9862,13189,7641,11507,6748,7743,4285,1571,3916,17390,121,1
28,125145,14807,36791,35722,23230,14595,168608,23723,35019,16026,24017,18942,19285,12917,4377,14302,42732,125,1
29,11607,2038,5200,3131,785,453,13695,2278,2819,1581,2085,1498,1207,846,423,958,3822,129,1
30,9455,2525,3188,2772,562,408,11066,1323,2268,1549,1887,1315,1134,686,283,621,2857,27,1
31,34736,5075,10190,11594,5111,2766,41118,5609,7211,3892,6502,4844,4371,3054,1289,4346,12119,31,1
32,82094,14330,24521,26101,11822,5320,96596,13851,16372,10340,15946,10907,10669,7370,2482,8659,27422,103,1
33,19657,3725,6493,4579,2930,1930,27818,5037,6622,2400,4392,2934,2784,1472,539,1638,6522,109,1
34,29697,5391,12902,6920,2809,1675,35065,5918,6322,3451,5085,4323,3936,2575,757,2698,10549,21,1
35,38423,6181,12958,12077,4403,2804,44836,5637,7851,5062,7826,4944,5655,3676,1409,2776,11702,33,1
36,8117,1887,3123,2215,611,281,9422,1176,1773,1568,1783,1103,1024,493,56,446,1905,37,1
37,33288,4673,10839,12189,3688,1899,39778,5729,7604,4107,6350,4090,4685,2924,1138,3151,11596,45,1
38,10161,1925,4343,2429,1008,456,12177,1913,2630,1681,1844,1287,1144,727,269,682,3490,65,1
39,71745,12156,23315,24155,7435,4684,84773,11586,15624,9960,14645,9756,9539,6664,2011,4988,22417,55,1
40,47694,12571,16211,12710,3638,2564,56732,9415,10991,6685,9941,6570,5640,3548,1413,2529,17537,49,1
41,25896,4927,11346,6477,1956,1190,30647,7941,4935,3977,4407,2908,2742,1705,601,1431,8382,53,1
42,9938,2034,3736,2851,880,437,11518,1616,2183,1643,1840,1172,1419,905,292,448,3088,75,1
43,15594,3344,5717,4264,1415,854,18493,2924,3051,2291,3354,2345,2403,1103,319,703,4937,111,1
44,13958,2645,5637,3423,1342,911,16368,2574,3237,2036,3021,1873,1630,870,396,731,4570,13,1
45,275878,37870,89951,84512,42066,21479,332515,54555,56919,33088,51740,35791,37806,25193,9962,27461,98648,97,1
46,8772,1842,4208,1954,458,310,10339,1963,2036,1734,1834,850,974,528,168,252,2774,35,1
47,5858,1171,2458,1238,512,479,7909,1889,1940,987,1421,686,526,197,50,213,2151,105,1
48,45197,9019,16881,14287,3014,1996,53033,7804,10164,6753,8834,6037,5716,3489,1239,2997,14442,127,1
49,10387,2512,3887,2705,807,476,12070,1511,2560,1441,2235,1210,1356,756,327,674,3458,29,1
50,5830,1365,2156,1646,486,177,6892,1373,1708,1072,1105,536,577,283,68,170,1999,63,1
51,18434,4960,6549,4707,1403,815,21627,3968,5090,2762,3419,1982,1820,1150,417,1019,5514,5,1
52,15859,2833,6958,3971,1289,808,18743,4170,3268,1835,2926,2036,1860,1044,651,953,4686,7,1
53,7377,2113,2699,1575,485,505,8684,1185,2075,1175,1184,976,842,513,261,473,2166,11,1
54,78975,13254,25440,26168,8092,6021,94767,12430,17540,11072,15252,11161,10474,7834,2621,6383,25303,15,1
55,23698,4537,9109,6894,2131,1027,27895,3618,4790,3729,5369,3447,3307,1519,776,1340,7256,17,1
56,16921,3136,7503,4089,1422,771,20199,4732,4020,2174,2583,1718,1915,1048,527,1482,5509,25,1
57,11715,2385,4444,3174,1178,534,13780,1674,2882,1892,2334,1524,1585,924,309,656,3598,57,1
58,149318,21382,38205,41568,28898,19265,182019,24755,35288,16682,25346,20048,21790,14333,5465,18312,53705,101,1
59,63248,12661,19782,19593,7353,3859,75215,11226,13746,8810,12960,8300,8815,4749,1455,5154,23543,95,1
60,39475,7980,12740,13583,3416,1756,46501,10165,6561,4115,6956,5184,5639,3549,1642,2690,13565,9,1
61,12123,2348,4105,3596,1087,987,14188,1899,2464,1704,2566,1573,1602,918,420,1042,3564,67,1
62,239756,22014,50525,69895,60410,36912,288412,40305,43660,25082,35827,29112,31889,24092,10315,48130,78787,89,1
63,36757,4521,12363,10697,5316,3860,44109,6377,6955,4235,6000,4825,5727,3352,1340,5298,13509,1,1
64,28609,5486,9728,8185,3474,1736,33625,5227,5342,3999,5488,4559,3760,2511,880,1859,8666,123,1
65,18666,3920,6655,6015,1407,669,21766,3067,3954,2627,3932,2390,2575,1616,567,1038,5899,61,1
66,7242,1511,3130,1733,578,290,8775,2007,1952,927,1572,821,759,323,59,355,2701,131,1
67,8968,1030,2596,3183,1374,785,10725,513,1814,833,1788,1213,1264,1052,688,1560,3608,150,2
68,1590,20,454,409,483,224,2042,23,568,152,294,210,287,134,64,310,313,68,2
69,6392,265,1789,2251,1475,612,7554,306,1469,647,995,567,633,700,461,1776,2227,261,2
70,39960,2977,12452,14884,6139,3508,46998,2764,9807,4053,6148,4553,5324,4684,1807,7858,13291,122,2
71,4147,485,1622,1369,517,154,4934,248,651,308,933,658,624,482,194,836,947,16,2
72,650,48,227,243,99,33,751,9,117,44,78,89,120,75,47,172,209,60,2
73,4095,789,1902,963,292,149,5425,154,2021,385,692,465,484,343,178,703,2690,188,2
74,9578,1896,4281,2196,748,457,12574,326,4923,1329,1553,1061,1144,645,371,1222,6324,50,2
75,6490,756,2594,2145,707,288,7665,74,1173,473,865,670,668,663,461,2618,2456,185,2
76,6168,399,1635,2104,1210,820,7170,271,1106,409,897,830,1155,897,397,1208,1951,220,2
77,61853,3349,13420,24613,12885,7586,79252,4783,13484,4785,9844,8398,10636,8080,4161,15081,24076,90,2
78,9514,769,2888,3562,1534,761,11217,523,1862,968,1611,1262,1591,1132,525,1743,3058,130,2
79,64554,5112,20746,25430,8812,4454,78166,5939,17512,6267,9546,7202,8278,7162,3235,13025,27482,170,2
80,480,39,195,152,81,13,552,12,78,29,124,37,83,88,27,74,149,282,2
81,5443,821,2370,1492,534,226,6991,195,2327,622,1043,761,606,504,225,708,3393,180,2
82,2876,391,1112,874,285,214,3671,34,1092,351,582,374,334,323,137,444,1530,70,2
83,1867,63,531,625,403,245,2118,19,369,221,262,217,268,311,117,334,500,100,2
84,22346,893,4583,7872,5832,3166,26607,883,3869,1689,2431,2776,4165,3214,1893,5687,7028,110,2
85,789,97,356,210,66,60,1003,14,287,107,187,85,115,93,28,87,365,164,2
86,4473,380,1482,1738,449,424,5325,132,1380,369,726,421,623,561,159,954,1835,240,2
87,3450,528,1437,1056,255,174,4186,70,1369,497,671,435,394,302,124,324,1522,290,2
88,192310,12747,45685,67389,42216,24273,236150,12582,38977,14010,28293,26106,31838,24939,12886,46519,73663,20,2
89,2555,364,1063,835,196,97,2986,32,496,296,556,492,423,289,137,265,446,13,2
90,4455,446,1683,1578,478,270,5195,73,1383,567,795,596,571,480,194,536,1537,198,2
91,1857,205,680,611,239,122,2090,28,442,181,362,253,271,213,143,197,481,275,2
92,1651,160,616,514,248,113,1845,18,355,209,292,215,278,114,87,277,350,105,2
93,829,63,194,305,203,64,928,11,88,63,133,155,148,131,75,124,136,230,2
94,2179,228,652,722,429,148,2639,59,491,168,500,326,288,254,137,416,738,195,2
95,3923,857,2048,826,119,73,5394,105,2554,652,862,437,355,177,65,187,3229,158,2
96,666989,78894,149838,227377,121598,89282,826383,115592,144455,78714,128561,92334,97426,61637,24251,83413,217245,19,4
97,2730613,352327,621894,897620,546841,311931,3298214,521562,467709,264846,445340,375353,419209,273620,113920,416655,1029584,13,4
98,38632,5807,10608,14876,4513,2828,44062,6762,8161,4617,7572,5243,4540,2897,1357,2913,10812,7,4
