,B19058_002E,state
1,285458,1
2,32796,2
3,324442,4
4,160968,5
5,1341565,6
6,185850,8
7,179969,9
9,44866,10
8,42177,11
10,1126772,12
11,547107,13
12,56075,15
13,74493,16
14,669808,17
15,302891,18
16,148087,19
17,103013,20
18,286281,21
20,284842,22
19,89116,23
22,251511,24
21,337609,25
23,603211,26
24,202608,27
25,195794,28
26,304848,29
27,45141,30
28,69742,31
30,137518,32
29,44292,33
31,318122,34
32,134984,35
33,1166650,36
34,550334,37
35,24308,38
36,689048,39
37,208025,40
38,291719,41
39,686848,42
40,69852,44
41,270006,45
42,38686,46
43,411828,47
44,1235311,48
45,78160,49
46,35438,50
47,298963,51
49,387330,53
48,125803,54
51,296630,55
50,14892,56
0,479339,72
