,B19058_002E,zip code tabulation area
0,3113,601
1,6165,602
2,8219,603
3,1030,606
4,4152,610
5,10682,612
6,1812,616
7,3483,617
8,986,622
9,5100,623
10,3547,624
11,5352,627
12,379,631
13,3305,637
14,3325,638
15,4342,641
16,3570,646
17,898,647
18,2291,650
19,481,652
20,2026,653
21,3251,656
22,6417,659
23,2292,660
24,6336,662
25,2819,664
26,4084,667
27,5073,669
28,1520,670
29,6592,674
30,6637,676
31,2077,677
32,4405,678
33,8075,680
34,4786,682
35,5060,683
36,7588,685
37,5219,687
38,1864,688
39,850,690
40,5201,692
41,6875,693
42,0,694
43,5076,698
44,4255,703
45,1519,704
46,4190,705
47,1805,707
48,3238,714
49,784,715
50,5162,716
51,3419,717
52,3898,718
53,4628,719
54,3804,720
55,3408,723
56,11670,725
57,5031,727
58,5768,728
59,6925,729
60,5960,730
61,2352,731
62,1921,735
63,6082,736
64,4694,738
65,4705,739
66,433,740
67,617,741
68,6264,745
69,3653,751
70,5975,754
71,3457,757
72,846,765
73,3995,766
74,5948,767
75,6038,769
76,4908,771
77,3751,772
78,3036,773
79,163,775
80,5441,777
81,4035,778
82,1574,780
83,3277,782
84,5728,783
85,6885,784
86,96,786
87,7037,791
88,5692,794
89,7032,795
90,796,901
91,0,906
92,894,907
93,661,909
94,477,911
95,402,912
96,2427,913
97,4471,915
98,3219,917
99,2175,918
100,1605,920
101,4550,921
102,4312,923
103,7306,924
104,841,925
105,7990,926
106,792,927
107,0,934
108,0,936
109,7544,949
110,0,950
111,0,951
112,1265,952
113,6520,953
114,7917,956
115,4618,957
116,4818,959
117,0,960
118,2987,961
119,3403,962
120,1185,965
121,860,966
122,217,968
123,2095,969
124,2932,971
125,5039,976
126,757,979
127,1769,982
128,4756,983
129,4201,985
130,5872,987
131,765,1001
132,749,1002
133,8,1003
134,147,1005
135,450,1007
136,38,1008
137,13,1009
138,203,1010
139,82,1011
140,16,1012
141,2734,1013
142,2166,1020
143,85,1022
144,45,1026
145,772,1027
146,601,1028
147,27,1029
148,493,1030
149,103,1031
150,6,1032
151,147,1033
152,48,1034
153,238,1035
154,90,1036
155,0,1037
156,52,1038
157,51,1039
158,5397,1040
159,83,1050
160,9,1053
161,52,1054
162,913,1056
163,307,1057
164,1085,1060
165,570,1062
166,0,1063
167,0,1066
168,67,1068
169,606,1069
170,28,1070
171,24,1071
172,75,1072
173,207,1073
174,0,1074
175,643,1075
176,298,1077
177,54,1079
178,183,1080
179,148,1081
180,581,1082
181,196,1083
182,0,1084
183,2028,1085
184,0,1086
185,30,1088
186,2390,1089
187,50,1092
188,10,1093
189,49,1094
190,362,1095
191,91,1096
192,10,1097
193,24,1098
194,693,1103
195,3837,1104
196,3093,1105
197,147,1106
198,2307,1107
199,3668,1108
200,3972,1109
201,1139,1118
202,1180,1119
203,143,1128
204,382,1129
205,1174,1151
206,0,1199
207,4001,1201
208,536,1220
209,0,1222
210,79,1223
211,10,1224
212,107,1225
213,312,1226
214,5,1229
215,330,1230
216,90,1235
217,15,1236
218,67,1237
219,181,1238
220,182,1240
221,0,1242
222,0,1243
223,0,1244
224,6,1245
225,1488,1247
226,45,1253
227,9,1254
228,24,1255
229,55,1256
230,76,1257
231,17,1258
232,24,1259
233,11,1260
234,81,1262
235,8,1264
236,31,1266
237,190,1267
238,19,1270
239,1375,1301
240,20,1330
241,900,1331
242,119,1337
243,12,1338
244,77,1339
245,105,1340
246,33,1341
247,81,1342
248,0,1343
249,50,1344
250,16,1346
251,15,1347
252,98,1349
253,11,1350
254,98,1351
255,35,1354
256,27,1355
257,136,1360
258,780,1364
259,47,1366
260,37,1367
261,47,1368
262,238,1370
263,123,1373
264,64,1375
265,676,1376
266,46,1378
267,89,1379
268,3075,1420
269,93,1430
270,73,1431
271,285,1432
272,81,1434
273,137,1436
274,8,1438
275,1855,1440
276,189,1450
277,30,1451
278,69,1452
279,2641,1453
280,255,1460
281,253,1462
282,381,1463
283,222,1464
284,0,1467
285,127,1468
286,253,1469
287,170,1473
288,32,1474
289,402,1475
290,470,1501
291,59,1503
292,239,1504
293,49,1505
294,112,1506
295,340,1507
296,545,1510
297,46,1515
298,264,1516
299,155,1518
300,100,1519
301,214,1520
302,48,1521
303,81,1522
304,43,1523
305,187,1524
306,0,1525
307,385,1527
308,101,1529
309,15,1531
310,178,1532
311,181,1534
312,214,1535
313,142,1536
314,109,1537
315,552,1540
316,66,1541
317,39,1542
318,203,1543
319,535,1545
320,2020,1550
321,188,1560
322,0,1561
323,674,1562
324,142,1564
325,153,1566
326,71,1568
327,342,1569
328,1233,1570
329,457,1571
330,244,1581
331,101,1583
332,101,1585
333,379,1588
334,174,1590
335,1084,1602
336,2067,1603
337,2808,1604
338,3425,1605
339,808,1606
340,899,1607
341,704,1608
342,1734,1609
343,2769,1610
344,109,1611
345,61,1612
346,599,1701
347,2712,1702
348,0,1718
349,37,1719
350,467,1720
351,272,1721
352,230,1730
353,24,1731
354,27,1740
355,20,1741
356,130,1742
357,0,1745
358,205,1746
359,80,1747
360,169,1748
361,591,1749
362,1569,1752
363,274,1754
364,32,1756
365,1023,1757
366,505,1760
367,27,1770
368,104,1772
369,69,1773
370,105,1775
371,197,1776
372,125,1778
373,1238,1801
374,477,1803
375,504,1810
376,562,1821
377,237,1824
378,950,1826
379,15,1827
380,1755,1830
381,1703,1832
382,109,1833
383,90,1834
384,525,1835
385,1325,1840
386,6986,1841
387,2821,1843
388,2451,1844
389,648,1845
390,1448,1850
391,2209,1851
392,3334,1852
393,2683,1854
394,134,1860
395,294,1862
396,305,1863
397,120,1864
398,297,1867
399,571,1876
400,227,1879
401,644,1880
402,288,1886
403,531,1887
404,195,1890
405,424,1901
406,6378,1902
407,657,1904
408,2304,1905
409,1014,1906
410,548,1907
411,123,1908
412,598,1913
413,1887,1915
414,16,1921
415,31,1922
416,625,1923
417,51,1929
418,1375,1930
419,0,1937
420,326,1938
421,164,1940
422,107,1944
423,316,1945
424,213,1949
425,510,1950
426,12,1951
427,441,1952
428,2951,1960
429,256,1966
430,151,1969
431,3003,1970
432,109,1982
433,70,1983
434,41,1984
435,0,1985
436,508,2019
437,521,2021
438,89,2025
439,692,2026
440,12,2030
441,182,2032
442,397,2035
443,721,2038
444,317,2043
445,333,2045
446,14,2047
447,357,2048
448,556,2050
449,92,2052
450,170,2053
451,70,2054
452,81,2056
453,103,2061
454,1047,2062
455,333,2066
456,275,2067
457,64,2071
458,1255,2072
459,262,2081
460,132,2090
461,171,2093
462,9,2108
463,75,2109
464,64,2110
465,753,2111
466,146,2113
467,460,2114
468,1960,2115
469,1035,2116
470,2770,2118
471,4185,2119
472,1362,2120
473,4887,2121
474,2349,2122
475,5970,2124
476,3105,2125
477,2925,2126
478,2951,2127
479,3370,2128
480,1492,2129
481,2328,2130
482,1908,2131
483,890,2132
484,755,2134
485,2810,2135
486,2706,2136
487,450,2138
488,1585,2139
489,1129,2140
490,854,2141
491,87,2142
492,1027,2143
493,866,2144
494,1274,2145
495,3231,2148
496,3173,2149
497,3571,2150
498,2883,2151
499,829,2152
500,1561,2155
501,0,2163
502,3327,2169
503,608,2170
504,648,2171
505,672,2176
506,646,2180
507,1161,2184
508,420,2186
509,597,2188
510,1104,2189
511,384,2190
512,230,2191
513,33,2199
514,27,2203
515,44,2210
516,728,2215
517,6893,2301
518,2660,2302
519,179,2322
520,499,2324
521,482,2330
522,145,2332
523,482,2333
524,221,2338
525,319,2339
526,212,2341
527,338,2343
528,742,2346
529,288,2347
530,533,2351
531,203,2356
532,0,2357
533,345,2359
534,1855,2360
535,208,2364
536,0,2366
537,72,2367
538,2276,2368
539,617,2370
540,167,2375
541,155,2379
542,598,2382
543,175,2420
544,351,2421
545,559,2445
546,660,2446
547,631,2451
548,370,2452
549,873,2453
550,0,2457
551,195,2458
552,268,2459
553,239,2460
554,129,2461
555,16,2462
556,108,2464
557,211,2465
558,221,2466
559,122,2467
560,45,2468
561,919,2472
562,695,2474
563,312,2476
564,457,2478
565,177,2481
566,119,2482
567,174,2492
568,105,2493
569,151,2494
570,368,2532
571,0,2534
572,22,2535
573,813,2536
574,109,2537
575,281,2538
576,18,2539
577,442,2540
578,26,2542
579,4,2543
580,0,2553
581,207,2554
582,15,2556
583,99,2557
584,145,2558
585,61,2559
586,0,2561
587,30,2562
588,133,2563
589,0,2564
590,58,2568
591,872,2571
592,30,2575
593,85,2576
594,0,2584
595,1501,2601
596,42,2630
597,288,2631
598,184,2632
599,161,2633
600,45,2635
601,13,2637
602,68,2638
603,184,2639
604,9,2641
605,144,2642
606,0,2643
607,126,2644
608,232,2645
609,53,2646
610,0,2647
611,189,2648
612,356,2649
613,0,2650
614,0,2651
615,0,2652
616,360,2653
617,36,2655
618,194,2657
619,32,2659
620,452,2660
621,9,2663
622,411,2664
623,5,2666
624,175,2667
625,22,2668
626,0,2669
627,55,2670
628,29,2671
629,0,2672
630,301,2673
631,99,2675
632,171,2702
633,2366,2703
634,0,2713
635,85,2715
636,120,2717
637,273,2718
638,591,2719
639,2613,2720
640,3773,2721
641,2107,2723
642,2445,2724
643,151,2725
644,436,2726
645,181,2738
646,77,2739
647,5112,2740
648,445,2743
649,1458,2744
650,1511,2745
651,2388,2746
652,784,2747
653,305,2748
654,885,2760
655,255,2762
656,18,2763
657,99,2764
658,368,2766
659,456,2767
660,97,2769
661,103,2770
662,537,2771
663,495,2777
664,127,2779
665,4020,2780
666,404,2790
667,0,2791
668,72,2802
669,20,2804
670,159,2806
671,23,2807
672,56,2808
673,1070,2809
674,11,2812
675,248,2813
676,305,2814
677,0,2815
678,1729,2816
679,110,2817
680,381,2818
681,282,2822
682,176,2825
683,24,2826
684,42,2827
685,152,2828
686,222,2830
687,33,2831
688,230,2832
689,50,2833
690,55,2835
691,0,2836
692,135,2837
693,267,2838
694,120,2839
695,1684,2840
696,0,2841
697,620,2842
698,1084,2852
699,162,2857
700,58,2858
701,339,2859
702,5645,2860
703,1746,2861
704,2658,2863
705,1371,2864
706,661,2865
707,548,2871
708,0,2872
709,0,2873
710,59,2874
711,0,2875
712,40,2876
713,539,2878
714,730,2879
715,37,2881
716,339,2882
717,730,2885
718,1921,2886
719,798,2888
720,1438,2889
721,1112,2891
722,57,2892
723,2683,2893
724,12,2894
725,5123,2895
726,258,2896
727,0,2898
728,1325,2903
729,2915,2904
730,2880,2905
731,651,2906
732,4273,2907
733,3469,2908
734,6584,2909
735,796,2910
736,1034,2911
737,0,2912
738,2028,2914
739,1018,2915
740,396,2916
741,322,2917
742,1528,2919
743,1955,2920
744,254,2921
745,63,3031
746,52,3032
747,7,3033
748,88,3034
749,61,3036
750,74,3037
751,1008,3038
752,81,3042
753,34,3043
754,38,3044
755,358,3045
756,41,3046
757,42,3047
758,124,3048
759,45,3049
760,539,3051
761,49,3052
762,323,3053
763,316,3054
764,235,3055
765,26,3057
766,2064,3060
767,487,3062
768,326,3063
769,833,3064
770,33,3070
771,166,3071
772,224,3076
773,523,3077
774,472,3079
775,20,3082
776,9,3084
777,35,3086
778,40,3087
779,333,3101
780,1963,3102
781,2719,3103
782,1751,3104
783,312,3106
784,253,3109
785,118,3110
786,0,3215
787,47,3216
788,139,3217
789,16,3218
790,291,3220
791,44,3221
792,157,3222
793,134,3223
794,30,3224
795,55,3225
796,28,3226
797,37,3227
798,72,3229
799,29,3230
800,0,3231
801,0,3233
802,104,3234
803,696,3235
804,78,3237
805,3,3238
806,34,3240
807,23,3241
808,98,3242
809,8,3243
810,262,3244
811,80,3245
812,1166,3246
813,207,3249
814,44,3251
815,249,3253
816,40,3254
817,51,3255
818,68,3256
819,45,3257
820,77,3258
821,2,3259
822,0,3260
823,122,3261
824,10,3262
825,401,3263
826,244,3264
827,93,3266
828,23,3268
829,54,3269
830,13,3273
