,NAME,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008,P004002,P013001,P013002,P013003,P015001,P017001,P031001,county,state
0,"Autauga County, Alabama",54571,42855,9643,232,474,32,466,869,53261,37,35.9,37.9,20221,2.68,14613,1,1
64,"Baldwin County, Alabama",182265,156153,17105,1216,1348,89,3631,2723,174273,41.1,40.1,42.2,73180,2.46,41898,3,1
65,"Barbour County, Alabama",27457,13180,12875,114,107,29,894,258,26070,39,37.2,41.6,9820,2.47,6015,5,1
1,"Bibb County, Alabama",22915,17381,5047,64,22,13,185,203,22509,37.8,36.5,39.5,7953,2.6,5201,7,1
6,"Blount County, Alabama",57322,53068,761,307,117,38,2347,684,52696,39,38,40,21578,2.63,14106,9,1
7,"Bullock County, Alabama",10914,2507,7666,23,20,43,569,86,10137,38.5,37.7,39.7,3745,2.46,2430,11,1
5,"Butler County, Alabama",20947,11399,9095,60,177,7,48,161,20756,40.1,37.7,41.9,8491,2.43,5056,13,1
66,"Calhoun County, Alabama",118572,88840,24382,540,845,96,1894,1975,114679,38.2,36.5,39.6,47331,2.44,27126,15,1
2,"Chambers County, Alabama",34215,20112,13257,69,168,10,214,385,33679,41.5,39.8,43.4,13933,2.42,7703,17,1
3,"Cherokee County, Alabama",25989,24081,1208,135,54,1,123,387,25669,43.9,43.1,44.9,10626,2.42,5566,19,1
8,"Chilton County, Alabama",43643,36713,4230,155,130,55,1854,506,40223,37.6,36.7,38.5,16558,2.61,10960,21,1
9,"Choctaw County, Alabama",13859,7731,6012,18,12,0,28,58,13786,43.4,41.5,44.8,5866,2.34,3141,23,1
4,"Clarke County, Alabama",25833,14070,11336,103,77,4,67,176,25562,40.2,39.3,41.1,10337,2.47,6389,25,1
11,"Clay County, Alabama",13932,11380,2066,55,24,0,172,235,13533,42,40.6,43.3,5670,2.41,3144,27,1
12,"Cleburne County, Alabama",14972,14079,498,51,23,10,151,160,14665,40.6,39.5,41.5,5891,2.51,3551,29,1
13,"Coffee County, Alabama",49948,37330,8359,645,644,100,1623,1247,46768,37.6,35.7,39.3,19849,2.49,12084,31,1
15,"Colbert County, Alabama",54428,43789,8768,267,229,20,510,845,53335,41.8,40.4,43.3,22773,2.37,12034,33,1
14,"Conecuh County, Alabama",13228,6788,6149,44,17,1,97,132,13067,43,41.7,44.4,5625,2.34,3042,35,1
10,"Coosa County, Alabama",11539,7648,3582,40,16,15,135,103,11309,44.2,43.5,45,4794,2.38,2370,37,1
17,"Covington County, Alabama",37765,32022,4716,214,155,1,135,522,37282,42.4,40.5,44.1,15531,2.39,8523,39,1
18,"Crenshaw County, Alabama",13906,10097,3254,57,189,8,99,202,13702,40.7,39.2,42.5,5652,2.44,3308,41,1
19,"Cullman County, Alabama",80406,76133,856,408,343,18,1759,889,76952,39.9,38.5,41.4,31864,2.49,18641,43,1
20,"Dale County, Alabama",50251,37236,9679,371,534,44,882,1505,47430,36.1,34.4,37.9,20065,2.46,12477,45,1
