,B19058_002E,county,state
0,1416.0,099,01
1,2297.0,079,01
2,7283.0,081,01
3,2021.0,093,01
4,1370.0,107,01
5,1614.0,119,01
6,40728.0,073,01
7,1409.0,023,01
8,2293.0,059,01
9,1971.0,091,01
10,4639.0,113,01
11,1899.0,019,01
12,2168.0,039,01
13,1002.0,041,01
14,5326.0,047,01
15,5516.0,077,01
16,1440.0,085,01
17,2237.0,087,01
18,4340.0,083,01
19,4533.0,117,01
20,4171.0,115,01
21,1500.0,133,01
22,6644.0,003,01
23,3897.0,043,01
24,4184.0,051,01
25,6066.0,069,01
26,2690.0,071,01
27,5647.0,121,01
28,7986.0,125,01
29,921.0,129,01
30,812.0,027,01
31,2656.0,031,01
32,6556.0,103,01
33,2007.0,109,01
34,3184.0,021,01
35,2824.0,033,01
36,602.0,037,01
37,3467.0,045,01
38,1445.0,065,01
39,6063.0,055,01
40,4651.0,049,01
41,2506.0,053,01
42,1136.0,075,01
43,1382.0,111,01
44,1393.0,013,01
45,27570.0,097,01
46,881.0,035,01
47,1107.0,105,01
48,4270.0,127,01
49,954.0,029,01
50,1247.0,063,01
51,2468.0,005,01
52,933.0,007,01
53,920.0,011,01
54,8221.0,015,01
55,2291.0,017,01
56,1894.0,025,01
57,1320.0,057,01
58,17843.0,101,01
59,5709.0,095,01
60,2244.0,009,01
61,1129.0,067,01
62,15888.0,089,01
63,2802.0,001,01
64,3080.0,123,01
65,1828.0,061,01
66,967.0,131,01
67,533.0,150,02
68,41.0,068,02
69,199.0,261,02
70,2518.0,122,02
71,69.0,016,02
72,41.0,060,02
73,691.0,188,02
74,1967.0,050,02
75,353.0,185,02
76,404.0,220,02
77,3481.0,090,02
78,965.0,130,02
79,3842.0,170,02
80,38.0,282,02
81,984.0,180,02
82,443.0,070,02
83,108.0,100,02
84,1196.0,110,02
85,119.0,164,02
86,281.0,240,02
87,716.0,290,02
88,11524.0,020,02
89,136.0,013,02
90,519.0,198,02
91,170.0,275,02
92,141.0,105,02
93,22.0,230,02
94,171.0,195,02
95,1124.0,158,02
96,58140.0,019,04
97,170676.0,013,04
98,3814.0,007,04
99,2096.0,009,04
100,4178.0,023,04
101,8126.0,003,04
102,1259.0,012,04
103,13855.0,015,04
104,5375.0,001,04
105,6250.0,005,04
106,10147.0,025,04
107,14144.0,027,04
108,314.0,011,04
109,8742.0,017,04
110,17326.0,021,04
111,3443.0,145,05
112,677.0,099,05
113,2341.0,123,05
114,18298.0,119,05
115,1144.0,021,05
116,1145.0,037,05
117,571.0,039,05
118,1312.0,043,05
119,1933.0,027,05
120,1397.0,121,05
121,3509.0,125,05
122,1036.0,141,05
123,2431.0,009,05
124,806.0,065,05
125,1951.0,063,05
126,803.0,079,05
127,1287.0,083,05
128,672.0,053,05
129,3999.0,035,05
130,1102.0,047,05
131,4978.0,045,05
132,628.0,109,05
133,5927.0,069,05
134,1084.0,089,05
135,644.0,097,05
136,843.0,127,05
137,483.0,129,05
138,8380.0,131,05
139,3241.0,033,05
140,5841.0,007,05
141,1149.0,017,05
142,1933.0,059,05
143,1480.0,071,05
144,1128.0,077,05
145,728.0,087,05
146,1562.0,041,05
147,930.0,049,05
148,892.0,061,05
149,5673.0,051,05
150,3979.0,093,05
151,3105.0,115,05
152,595.0,117,05
153,2580.0,139,05
154,774.0,147,05
155,948.0,023,05
156,445.0,025,05
157,1261.0,067,05
158,1186.0,057,05
159,1475.0,135,05
160,916.0,137,05
161,7558.0,143,05
162,2588.0,055,05
163,2061.0,005,05
164,1651.0,003,05
165,5825.0,031,05
166,664.0,073,05
167,527.0,105,05
168,1100.0,149,05
169,2418.0,107,05
170,2056.0,111,05
171,1112.0,133,05
172,284.0,013,05
173,1202.0,019,05
174,1012.0,011,05
175,1127.0,075,05
176,802.0,095,05
177,1431.0,113,05
178,1455.0,029,05
179,1945.0,103,05
180,532.0,101,05
181,1520.0,001,05
182,1041.0,081,05
183,2668.0,085,05
184,1123.0,015,05
185,2621.0,091,05
186,289.0,049,06
187,17206.0,047,06
188,3544.0,033,06
189,765.0,043,06
190,4447.0,115,06
191,28789.0,013,06
192,807.0,027,06
193,924.0,035,06
194,28229.0,099,06
195,12356.0,083,06
196,15013.0,097,06
197,3631.0,103,06
198,10012.0,025,06
199,243.0,051,06
200,1868.0,069,06
201,47442.0,001,06
202,70628.0,067,06
203,4929.0,017,06
204,2473.0,055,06
205,89399.0,073,06
206,9735.0,053,06
207,21645.0,075,06
208,105.0,091,06
209,34383.0,107,06
210,7010.0,113,06
211,7085.0,023,06
212,3067.0,057,06
213,44.0,003,06
214,8626.0,039,06
215,4481.0,045,06
216,8641.0,087,06
217,634.0,105,06
218,333729.0,037,06
219,81095.0,065,06
220,106098.0,071,06
221,37147.0,085,06
222,4042.0,041,06
223,7370.0,061,06
224,2516.0,093,06
225,8287.0,089,06
226,15280.0,095,06
227,1634.0,015,06
228,977.0,011,06
229,1212.0,021,06
230,10971.0,007,06
231,7490.0,031,06
232,860.0,063,06
233,6333.0,079,06
