,B19058_002E,zip code tabulation area
0,3113.0,00601
1,6165.0,00602
2,8219.0,00603
3,1030.0,00606
4,4152.0,00610
5,10682.0,00612
6,1812.0,00616
7,3483.0,00617
8,986.0,00622
9,5100.0,00623
10,3547.0,00624
11,5352.0,00627
12,379.0,00631
13,3305.0,00637
14,3325.0,00638
15,4342.0,00641
16,3570.0,00646
17,898.0,00647
18,2291.0,00650
19,481.0,00652
20,2026.0,00653
21,3251.0,00656
22,6417.0,00659
23,2292.0,00660
24,6336.0,00662
25,2819.0,00664
26,4084.0,00667
27,5073.0,00669
28,1520.0,00670
29,6592.0,00674
30,6637.0,00676
31,2077.0,00677
32,4405.0,00678
33,8075.0,00680
34,4786.0,00682
35,5060.0,00683
36,7588.0,00685
37,5219.0,00687
38,1864.0,00688
39,850.0,00690
40,5201.0,00692
41,6875.0,00693
42,0.0,00694
43,5076.0,00698
44,4255.0,00703
45,1519.0,00704
46,4190.0,00705
47,1805.0,00707
48,3238.0,00714
49,784.0,00715
50,5162.0,00716
51,3419.0,00717
52,3898.0,00718
53,4628.0,00719
54,3804.0,00720
55,3408.0,00723
56,11670.0,00725
57,5031.0,00727
58,5768.0,00728
59,6925.0,00729
60,5960.0,00730
61,2352.0,00731
62,1921.0,00735
63,6082.0,00736
64,4694.0,00738
65,4705.0,00739
66,433.0,00740
67,617.0,00741
68,6264.0,00745
69,3653.0,00751
70,5975.0,00754
71,3457.0,00757
72,846.0,00765
73,3995.0,00766
74,5948.0,00767
75,6038.0,00769
76,4908.0,00771
77,3751.0,00772
78,3036.0,00773
79,163.0,00775
80,5441.0,00777
81,4035.0,00778
82,1574.0,00780
83,3277.0,00782
84,5728.0,00783
85,6885.0,00784
86,96.0,00786
87,7037.0,00791
88,5692.0,00794
89,7032.0,00795
90,796.0,00901
91,0.0,00906
92,894.0,00907
93,661.0,00909
94,477.0,00911
95,402.0,00912
96,2427.0,00913
97,4471.0,00915
98,3219.0,00917
99,2175.0,00918
100,1605.0,00920
101,4550.0,00921
102,4312.0,00923
103,7306.0,00924
104,841.0,00925
105,7990.0,00926
106,792.0,00927
107,0.0,00934
108,0.0,00936
109,7544.0,00949
110,0.0,00950
111,0.0,00951
112,1265.0,00952
113,6520.0,00953
114,7917.0,00956
115,4618.0,00957
116,4818.0,00959
117,0.0,00960
118,2987.0,00961
119,3403.0,00962
120,1185.0,00965
121,860.0,00966
122,217.0,00968
123,2095.0,00969
124,2932.0,00971
125,5039.0,00976
126,757.0,00979
127,1769.0,00982
128,4756.0,00983
129,4201.0,00985
130,5872.0,00987
131,765.0,01001
132,749.0,01002
133,8.0,01003
134,147.0,01005
135,450.0,01007
136,38.0,01008
137,13.0,01009
138,203.0,01010
139,82.0,01011
140,16.0,01012
141,2734.0,01013
142,2166.0,01020
143,85.0,01022
144,45.0,01026
145,772.0,01027
146,601.0,01028
147,27.0,01029
148,493.0,01030
149,103.0,01031
150,6.0,01032
151,147.0,01033
152,48.0,01034
153,238.0,01035
154,90.0,01036
155,0.0,01037
156,52.0,01038
157,51.0,01039
158,5397.0,01040
159,83.0,01050
160,9.0,01053
161,52.0,01054
162,913.0,01056
163,307.0,01057
164,1085.0,01060
165,570.0,01062
166,0.0,01063
167,0.0,01066
168,67.0,01068
169,606.0,01069
170,28.0,01070
171,24.0,01071
172,75.0,01072
173,207.0,01073
174,0.0,01074
175,643.0,01075
176,298.0,01077
177,54.0,01079
178,183.0,01080
179,148.0,01081
180,581.0,01082
181,196.0,01083
182,0.0,01084
183,2028.0,01085
184,0.0,01086
185,30.0,01088
186,2390.0,01089
187,50.0,01092
188,10.0,01093
189,49.0,01094
190,362.0,01095
191,91.0,01096
192,10.0,01097
193,24.0,01098
194,693.0,01103
195,3837.0,01104
196,3093.0,01105
197,147.0,01106
198,2307.0,01107
199,3668.0,01108
200,3972.0,01109
201,1139.0,01118
202,1180.0,01119
203,143.0,01128
204,382.0,01129
205,1174.0,01151
206,0.0,01199
207,4001.0,01201
208,536.0,01220
209,0.0,01222
210,79.0,01223
211,10.0,01224
212,107.0,01225
213,312.0,01226
214,5.0,01229
215,330.0,01230
216,90.0,01235
217,15.0,01236
218,67.0,01237
219,181.0,01238
220,182.0,01240
221,0.0,01242
222,0.0,01243
223,0.0,01244
224,6.0,01245
225,1488.0,01247
226,45.0,01253
227,9.0,01254
228,24.0,01255
229,55.0,01256
230,76.0,01257
231,17.0,01258
232,24.0,01259
233,11.0,01260
234,81.0,01262
235,8.0,01264
236,31.0,01266
237,190.0,01267
238,19.0,01270
239,1375.0,01301
240,20.0,01330
241,900.0,01331
242,119.0,01337
243,12.0,01338
244,77.0,01339
245,105.0,01340
246,33.0,01341
247,81.0,01342
248,0.0,01343
249,50.0,01344
250,16.0,01346
251,15.0,01347
252,98.0,01349
253,11.0,01350
254,98.0,01351
255,35.0,01354
256,27.0,01355
257,136.0,01360
258,780.0,01364
259,47.0,01366
260,37.0,01367
261,47.0,01368
262,238.0,01370
263,123.0,01373
264,64.0,01375
265,676.0,01376
266,46.0,01378
267,89.0,01379
268,3075.0,01420
269,93.0,01430
270,73.0,01431
271,285.0,01432
272,81.0,01434
273,137.0,01436
274,8.0,01438
275,1855.0,01440
276,189.0,01450
277,30.0,01451
278,69.0,01452
279,2641.0,01453
280,255.0,01460
281,253.0,01462
282,381.0,01463
283,222.0,01464
284,0.0,01467
285,127.0,01468
286,253.0,01469
287,170.0,01473
288,32.0,01474
289,402.0,01475
290,470.0,01501
291,59.0,01503
292,239.0,01504
293,49.0,01505
294,112.0,01506
295,340.0,01507
296,545.0,01510
297,46.0,01515
298,264.0,01516
299,155.0,01518
300,100.0,01519
301,214.0,01520
302,48.0,01521
303,81.0,01522
304,43.0,01523
305,187.0,01524
306,0.0,01525
307,385.0,01527
308,101.0,01529
309,15.0,01531
310,178.0,01532
311,181.0,01534
312,214.0,01535
313,142.0,01536
314,109.0,01537
315,552.0,01540
316,66.0,01541
317,39.0,01542
318,203.0,01543
319,535.0,01545
320,2020.0,01550
321,188.0,01560
322,0.0,01561
323,674.0,01562
324,142.0,01564
325,153.0,01566
326,71.0,01568
327,342.0,01569
328,1233.0,01570
329,457.0,01571
330,244.0,01581
331,101.0,01583
332,101.0,01585
333,379.0,01588
334,174.0,01590
335,1084.0,01602
336,2067.0,01603
337,2808.0,01604
338,3425.0,01605
339,808.0,01606
340,899.0,01607
341,704.0,01608
342,1734.0,01609
343,2769.0,01610
344,109.0,01611
345,61.0,01612
346,599.0,01701
347,2712.0,01702
348,0.0,01718
349,37.0,01719
350,467.0,01720
351,272.0,01721
352,230.0,01730
353,24.0,01731
354,27.0,01740
355,20.0,01741
356,130.0,01742
357,0.0,01745
358,205.0,01746
359,80.0,01747
360,169.0,01748
361,591.0,01749
362,1569.0,01752
363,274.0,01754
364,32.0,01756
365,1023.0,01757
366,505.0,01760
367,27.0,01770
368,104.0,01772
369,69.0,01773
370,105.0,01775
371,197.0,01776
372,125.0,01778
373,1238.0,01801
374,477.0,01803
375,504.0,01810
376,562.0,01821
377,237.0,01824
378,950.0,01826
379,15.0,01827
380,1755.0,01830
381,1703.0,01832
382,109.0,01833
383,90.0,01834
384,525.0,01835
385,1325.0,01840
386,6986.0,01841
