,NAME,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008,P004002,P013001,P013002,P013003,P015001,P017001,P031001,state,zip code tabulation area (or part)
0,"ZCTA5 30165 (part), Alabama",70.0,66.0,4.0,0.0,0.0,0.0,0.0,0.0,70.0,56.2,56.8,53.8,32.0,2.19,10.0,01,30165
1,"ZCTA5 31905 (part), Alabama",9.0,2.0,2.0,4.0,0.0,1.0,0.0,0.0,5.0,34.8,43.5,22.5,5.0,1.8,2.0,01,31905
2,"ZCTA5 35004, Alabama",10427.0,9067.0,934.0,34.0,167.0,0.0,75.0,150.0,10213.0,34.5,33.4,35.6,4214.0,2.47,2469.0,01,35004
3,"ZCTA5 35005, Alabama",7942.0,4720.0,2993.0,41.0,18.0,2.0,83.0,85.0,7785.0,39.6,38.5,40.7,3067.0,2.58,1860.0,01,35005
4,"ZCTA5 35006, Alabama",3121.0,2891.0,168.0,23.0,1.0,0.0,5.0,33.0,3092.0,41.2,39.8,42.3,1188.0,2.63,737.0,01,35006
5,"ZCTA5 35007, Alabama",26225.0,20700.0,3495.0,101.0,209.0,8.0,1278.0,434.0,23550.0,35.6,34.3,36.8,9180.0,2.82,7291.0,01,35007
6,"ZCTA5 35010, Alabama",20816.0,13722.0,6008.0,57.0,154.0,17.0,672.0,186.0,19924.0,40.8,39.4,42.2,8476.0,2.42,4752.0,01,35010
7,"ZCTA5 35013, Alabama",124.0,97.0,3.0,0.0,4.0,0.0,20.0,0.0,21.0,23.3,27.7,15.0,34.0,3.65,50.0,01,35013
8,"ZCTA5 35014, Alabama",4546.0,2260.0,2213.0,8.0,4.0,0.0,15.0,46.0,4506.0,40.8,39.6,42.4,1592.0,2.51,886.0,01,35014
9,"ZCTA5 35016, Alabama",16778.0,16138.0,27.0,127.0,86.0,8.0,158.0,234.0,16460.0,40.7,39.4,42.3,6847.0,2.44,3979.0,01,35016
10,"ZCTA5 35019, Alabama",2117.0,2014.0,18.0,29.0,5.0,2.0,29.0,20.0,2064.0,40.1,40.0,40.2,831.0,2.55,495.0,01,35019
11,"ZCTA5 35020, Alabama",27139.0,5075.0,20397.0,120.0,23.0,0.0,1295.0,229.0,25410.0,37.0,33.9,39.9,10495.0,2.53,6800.0,01,35020
12,"ZCTA5 35022, Alabama",18888.0,11317.0,6780.0,54.0,124.0,0.0,424.0,189.0,18293.0,40.2,38.9,42.0,7378.0,2.51,4358.0,01,35022
13,"ZCTA5 35023, Alabama",25436.0,18921.0,5919.0,75.0,95.0,5.0,196.0,225.0,25059.0,39.9,38.5,42.1,9436.0,2.52,5355.0,01,35023
14,"ZCTA5 35031, Alabama",7933.0,7371.0,25.0,49.0,19.0,20.0,340.0,109.0,7171.0,38.5,37.8,39.3,3041.0,2.61,2002.0,01,35031
15,"ZCTA5 35032, Alabama",66.0,47.0,8.0,0.0,0.0,0.0,4.0,7.0,63.0,28.0,36.5,25.8,22.0,3.0,20.0,01,35032
16,"ZCTA5 35033, Alabama",3403.0,3345.0,13.0,9.0,8.0,1.0,3.0,24.0,3380.0,41.6,42.3,41.0,1340.0,2.54,793.0,01,35033
17,"ZCTA5 35034, Alabama",5541.0,2428.0,3051.0,4.0,3.0,3.0,24.0,28.0,5454.0,36.2,35.7,38.2,1342.0,2.63,914.0,01,35034
18,"ZCTA5 35035, Alabama",1581.0,1283.0,245.0,13.0,0.0,0.0,6.0,34.0,1566.0,38.7,38.3,39.1,596.0,2.65,375.0,01,35035
19,"ZCTA5 35036, Alabama",297.0,177.0,110.0,0.0,1.0,0.0,3.0,6.0,297.0,30.4,33.2,29.3,123.0,2.41,94.0,01,35036
20,"ZCTA5 35040, Alabama",14965.0,11255.0,2896.0,37.0,90.0,5.0,411.0,271.0,14203.0,32.9,32.3,33.4,5877.0,2.54,3907.0,01,35040
21,"ZCTA5 35042, Alabama",5831.0,4577.0,1053.0,25.0,12.0,10.0,92.0,62.0,5686.0,40.1,37.7,42.4,2320.0,2.45,1350.0,01,35042
22,"ZCTA5 35043, Alabama",9234.0,8415.0,450.0,37.0,114.0,10.0,101.0,107.0,8919.0,36.3,36.4,36.3,3265.0,2.8,2704.0,01,35043
23,"ZCTA5 35044, Alabama",7713.0,4898.0,2610.0,24.0,27.0,0.0,37.0,117.0,7616.0,38.2,37.8,38.6,3105.0,2.48,1953.0,01,35044
24,"ZCTA5 35045, Alabama",14870.0,11781.0,2099.0,42.0,72.0,10.0,683.0,183.0,13834.0,38.1,37.1,39.1,5733.0,2.53,3600.0,01,35045
25,"ZCTA5 35046, Alabama",5108.0,4920.0,39.0,31.0,6.0,1.0,58.0,53.0,5003.0,39.9,39.7,40.0,2027.0,2.52,1235.0,01,35046
