,NAME,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008,P004002,P013001,P013002,P013003,P015001,P017001,P031001,state,zip code tabulation area (or part)
0,"ZCTA5 35650, Alabama",13971.0,11766.0,668.0,777.0,30.0,0.0,71.0,659.0,13736.0,40.8,39.8,41.8,5576.0,2.46,3272.0,01,35650
1,"ZCTA5 35652, Alabama",8190.0,7665.0,373.0,45.0,24.0,1.0,16.0,66.0,8116.0,43.4,43.1,43.8,3459.0,2.36,1753.0,01,35652
2,"ZCTA5 35653, Alabama",11150.0,8101.0,848.0,95.0,30.0,4.0,1846.0,226.0,8618.0,35.5,33.5,37.7,4156.0,2.64,2929.0,01,35653
3,"ZCTA5 35654, Alabama",8685.0,6977.0,315.0,87.0,24.0,4.0,1135.0,143.0,7046.0,36.6,35.6,38.0,3255.0,2.64,2208.0,01,35654
4,"ZCTA5 35660, Alabama",9042.0,6298.0,2429.0,25.0,31.0,6.0,99.0,154.0,8831.0,40.5,38.5,42.6,4057.0,2.23,1971.0,01,35660
5,"ZCTA5 35661, Alabama",16617.0,13440.0,2502.0,52.0,132.0,6.0,206.0,279.0,16188.0,41.3,39.7,42.9,6812.0,2.41,3767.0,01,35661
6,"ZCTA5 35670, Alabama",7676.0,7251.0,159.0,96.0,20.0,0.0,46.0,104.0,7608.0,41.9,41.3,42.5,3014.0,2.54,1721.0,01,35670
7,"ZCTA5 35671, Alabama",2107.0,1208.0,682.0,10.0,7.0,0.0,160.0,40.0,1887.0,41.4,39.5,42.9,861.0,2.45,472.0,01,35671
8,"ZCTA5 35672, Alabama",6445.0,4511.0,1127.0,429.0,1.0,2.0,80.0,295.0,6312.0,40.7,39.8,41.5,2548.0,2.53,1503.0,01,35672
9,"ZCTA5 35673, Alabama",8199.0,7126.0,287.0,341.0,7.0,1.0,166.0,271.0,7934.0,39.7,38.7,40.7,3115.0,2.63,1991.0,01,35673
