,NAME,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008,P004002,P013001,P013002,P013003,P015001,P017001,P031001,county,state
0,"Autauga County, Alabama",54571.0,42855.0,9643.0,232.0,474.0,32.0,466.0,869.0,53261.0,37.0,35.9,37.9,20221.0,2.68,14613.0,001,01
1,"Bibb County, Alabama",22915.0,17381.0,5047.0,64.0,22.0,13.0,185.0,203.0,22509.0,37.8,36.5,39.5,7953.0,2.6,5201.0,007,01
2,"Chambers County, Alabama",34215.0,20112.0,13257.0,69.0,168.0,10.0,214.0,385.0,33679.0,41.5,39.8,43.4,13933.0,2.42,7703.0,017,01
3,"Cherokee County, Alabama",25989.0,24081.0,1208.0,135.0,54.0,1.0,123.0,387.0,25669.0,43.9,43.1,44.9,10626.0,2.42,5566.0,019,01
4,"Clarke County, Alabama",25833.0,14070.0,11336.0,103.0,77.0,4.0,67.0,176.0,25562.0,40.2,39.3,41.1,10337.0,2.47,6389.0,025,01
5,"Butler County, Alabama",20947.0,11399.0,9095.0,60.0,177.0,7.0,48.0,161.0,20756.0,40.1,37.7,41.9,8491.0,2.43,5056.0,013,01
6,"Blount County, Alabama",57322.0,53068.0,761.0,307.0,117.0,38.0,2347.0,684.0,52696.0,39.0,38.0,40.0,21578.0,2.63,14106.0,009,01
7,"Bullock County, Alabama",10914.0,2507.0,7666.0,23.0,20.0,43.0,569.0,86.0,10137.0,38.5,37.7,39.7,3745.0,2.46,2430.0,011,01
8,"Chilton County, Alabama",43643.0,36713.0,4230.0,155.0,130.0,55.0,1854.0,506.0,40223.0,37.6,36.7,38.5,16558.0,2.61,10960.0,021,01
9,"Choctaw County, Alabama",13859.0,7731.0,6012.0,18.0,12.0,0.0,28.0,58.0,13786.0,43.4,41.5,44.8,5866.0,2.34,3141.0,023,01
10,"Coosa County, Alabama",11539.0,7648.0,3582.0,40.0,16.0,15.0,135.0,103.0,11309.0,44.2,43.5,45.0,4794.0,2.38,2370.0,037,01
11,"Clay County, Alabama",13932.0,11380.0,2066.0,55.0,24.0,0.0,172.0,235.0,13533.0,42.0,40.6,43.3,5670.0,2.41,3144.0,027,01
12,"Cleburne County, Alabama",14972.0,14079.0,498.0,51.0,23.0,10.0,151.0,160.0,14665.0,40.6,39.5,41.5,5891.0,2.51,3551.0,029,01
13,"Coffee County, Alabama",49948.0,37330.0,8359.0,645.0,644.0,100.0,1623.0,1247.0,46768.0,37.6,35.7,39.3,19849.0,2.49,12084.0,031,01
14,"Conecuh County, Alabama",13228.0,6788.0,6149.0,44.0,17.0,1.0,97.0,132.0,13067.0,43.0,41.7,44.4,5625.0,2.34,3042.0,035,01
15,"Colbert County, Alabama",54428.0,43789.0,8768.0,267.0,229.0,20.0,510.0,845.0,53335.0,41.8,40.4,43.3,22773.0,2.37,12034.0,033,01
16,"Escambia County, Alabama",38319.0,23784.0,12220.0,1288.0,92.0,12.0,343.0,580.0,37601.0,39.2,38.1,40.4,14157.0,2.48,8679.0,053,01
17,"Covington County, Alabama",37765.0,32022.0,4716.0,214.0,155.0,1.0,135.0,522.0,37282.0,42.4,40.5,44.1,15531.0,2.39,8523.0,039,01
18,"Crenshaw County, Alabama",13906.0,10097.0,3254.0,57.0,189.0,8.0,99.0,202.0,13702.0,40.7,39.2,42.5,5652.0,2.44,3308.0,041,01
